"id_monitoramento";"dado_coletado";"data_hora";"descricao";"fk_componentes_monitoramento";"fk_maquina_monitoramento";"fk_empresa_monitoramento";"fk_unidade_medida"
1;5.8;"2023-12-01 13:56:44";"uso de cpu py";2;1;1;2
2;411140444160.0;"2023-12-01 13:56:44";"disco livre";3;1;1;1
3;499553136640.0;"2023-12-01 13:56:44";"disco total";3;1;1;1
4;1206325248.0;"2023-12-01 13:56:44";"memoria disponivel";1;1;1;1
5;8459489280.0;"2023-12-01 13:56:44";"memoria total";1;1;1;1
6;12.2;"2023-12-01 13:57:28";"uso de cpu py";2;1;1;2
7;411130642432.0;"2023-12-01 13:57:28";"disco livre";3;1;1;1
8;499553136640.0;"2023-12-01 13:57:28";"disco total";3;1;1;1
9;1159155712.0;"2023-12-01 13:57:28";"memoria disponivel";1;1;1;1
10;8459489280.0;"2023-12-01 13:57:28";"memoria total";1;1;1;1
11;26.2;"2023-12-01 13:58:11";"uso de cpu py";2;1;1;2
12;411155058688.0;"2023-12-01 13:58:11";"disco livre";3;1;1;1
13;499553136640.0;"2023-12-01 13:58:11";"disco total";3;1;1;1
14;1294569472.0;"2023-12-01 13:58:11";"memoria disponivel";1;1;1;1
15;8459489280.0;"2023-12-01 13:58:11";"memoria total";1;1;1;1
16;10.8;"2023-12-01 13:58:54";"uso de cpu py";2;1;1;2
17;411153743872.0;"2023-12-01 13:58:54";"disco livre";3;1;1;1
18;499553136640.0;"2023-12-01 13:58:54";"disco total";3;1;1;1
19;1250074624.0;"2023-12-01 13:58:54";"memoria disponivel";1;1;1;1
20;8459489280.0;"2023-12-01 13:58:54";"memoria total";1;1;1;1
21;10.9;"2023-12-01 13:59:37";"uso de cpu py";2;1;1;2
22;411153223680.0;"2023-12-01 13:59:37";"disco livre";3;1;1;1
23;499553136640.0;"2023-12-01 13:59:37";"disco total";3;1;1;1
24;1218981888.0;"2023-12-01 13:59:37";"memoria disponivel";1;1;1;1
25;8459489280.0;"2023-12-01 13:59:37";"memoria total";1;1;1;1
26;15.9;"2023-12-01 14:00:19";"uso de cpu py";2;1;1;2
27;411151847424.0;"2023-12-01 14:00:19";"disco livre";3;1;1;1
28;499553136640.0;"2023-12-01 14:00:19";"disco total";3;1;1;1
29;1072087040.0;"2023-12-01 14:00:19";"memoria disponivel";1;1;1;1
30;8459489280.0;"2023-12-01 14:00:19";"memoria total";1;1;1;1
31;10.5;"2023-12-01 14:01:02";"uso de cpu py";2;1;1;2
32;411154767872.0;"2023-12-01 14:01:02";"disco livre";3;1;1;1
33;499553136640.0;"2023-12-01 14:01:02";"disco total";3;1;1;1
34;1231749120.0;"2023-12-01 14:01:02";"memoria disponivel";1;1;1;1
35;8459489280.0;"2023-12-01 14:01:02";"memoria total";1;1;1;1
36;12.0;"2023-12-01 14:01:45";"uso de cpu py";2;1;1;2
37;411153661952.0;"2023-12-01 14:01:45";"disco livre";3;1;1;1
38;499553136640.0;"2023-12-01 14:01:45";"disco total";3;1;1;1
39;1110147072.0;"2023-12-01 14:01:45";"memoria disponivel";1;1;1;1
40;8459489280.0;"2023-12-01 14:01:45";"memoria total";1;1;1;1
41;11.8;"2023-12-01 14:02:29";"uso de cpu py";2;1;1;2
42;411132751872.0;"2023-12-01 14:02:29";"disco livre";3;1;1;1
43;499553136640.0;"2023-12-01 14:02:29";"disco total";3;1;1;1
44;1157193728.0;"2023-12-01 14:02:29";"memoria disponivel";1;1;1;1
45;8459489280.0;"2023-12-01 14:02:29";"memoria total";1;1;1;1
46;21.5;"2023-12-01 14:03:12";"uso de cpu py";2;1;1;2
47;411127668736.0;"2023-12-01 14:03:12";"disco livre";3;1;1;1
48;499553136640.0;"2023-12-01 14:03:12";"disco total";3;1;1;1
49;1374351360.0;"2023-12-01 14:03:12";"memoria disponivel";1;1;1;1
50;8459489280.0;"2023-12-01 14:03:12";"memoria total";1;1;1;1
51;11.5;"2023-12-01 14:03:55";"uso de cpu py";2;1;1;2
52;411123818496.0;"2023-12-01 14:03:55";"disco livre";3;1;1;1
53;499553136640.0;"2023-12-01 14:03:55";"disco total";3;1;1;1
54;1523396608.0;"2023-12-01 14:03:55";"memoria disponivel";1;1;1;1
55;8459489280.0;"2023-12-01 14:03:55";"memoria total";1;1;1;1
56;77.6;"2023-12-01 14:04:39";"uso de cpu py";2;1;1;2
57;411123400704.0;"2023-12-01 14:04:39";"disco livre";3;1;1;1
58;499553136640.0;"2023-12-01 14:04:39";"disco total";3;1;1;1
59;1378418688.0;"2023-12-01 14:04:39";"memoria disponivel";1;1;1;1
60;8459489280.0;"2023-12-01 14:04:39";"memoria total";1;1;1;1
61;20.8;"2023-12-01 14:05:23";"uso de cpu py";2;1;1;2
62;411126579200.0;"2023-12-01 14:05:23";"disco livre";3;1;1;1
63;499553136640.0;"2023-12-01 14:05:23";"disco total";3;1;1;1
64;1426247680.0;"2023-12-01 14:05:23";"memoria disponivel";1;1;1;1
65;8459489280.0;"2023-12-01 14:05:23";"memoria total";1;1;1;1
66;22.6;"2023-12-01 14:06:06";"uso de cpu py";2;1;1;2
67;411126120448.0;"2023-12-01 14:06:06";"disco livre";3;1;1;1
68;499553136640.0;"2023-12-01 14:06:06";"disco total";3;1;1;1
