"dado_coletado";"Representacao";"data_hora";"nome_componente";"descricao";"id_maquina";"hostname";"razao_social"
9.2;"%";"2023-12-05 20:25:20";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
15.6;"%";"2023-12-05 20:25:14";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
8.9;"%";"2023-12-04 22:42:00";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
28.2;"%";"2023-12-04 22:41:54";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
3.1;"%";"2023-12-04 22:40:35";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
3.9;"%";"2023-12-04 22:39:04";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
50.0;"%";"2023-12-04 21:38:52";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
19.5;"%";"2023-12-04 21:38:46";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
23.1;"%";"2023-12-04 21:38:40";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
48.0;"%";"2023-12-04 21:38:34";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
25.6;"%";"2023-12-04 21:38:28";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
4.7;"%";"2023-12-04 21:38:22";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
6.6;"%";"2023-12-04 21:38:16";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
10.7;"%";"2023-12-04 21:38:09";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
6.3;"%";"2023-12-04 21:38:03";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
3.9;"%";"2023-12-04 21:37:57";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
3.6;"%";"2023-12-04 21:37:51";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
18.5;"%";"2023-12-04 21:37:45";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
14.0;"%";"2023-12-04 21:37:39";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
19.3;"%";"2023-12-04 21:37:33";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
22.5;"%";"2023-12-04 21:37:26";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
12.5;"%";"2023-12-04 21:37:20";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
10.1;"%";"2023-12-04 21:37:14";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
8.6;"%";"2023-12-04 21:37:08";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
3.5;"%";"2023-12-04 21:37:02";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
12.9;"%";"2023-12-04 21:36:56";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
31.5;"%";"2023-12-04 21:36:50";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
8.2;"%";"2023-12-04 21:36:43";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
1.6;"%";"2023-12-04 20:53:20";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
2.0;"%";"2023-12-04 20:53:14";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
6.6;"%";"2023-12-04 20:51:00";"CPU";"uso de cpu py";4;"luize";"ViaMobilidade"
